Table vi_04_q: Entry clearance visas granted by category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/statistics/immigration-statistics-year-ending-march-2018-data-tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Broad category,Applicant type,Category,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1
Work,Tier 1 & pre-PBS equivalent,Dependant,Tier 1 - Other,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,0,0,3,1,0,5,1,2,0,1,0,1,0,2,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Work,Tier 1 & pre-PBS equivalent,Dependant,Other permit free employment - High value,0,713,"1,680","1,599","1,790","1,983","2,000","2,190","1,772","1,160","1,611","1,742","1,880","1,427",722,736,503,575,379,222,125,72,38,30,30,10,8,6,5,1,z,z,3,z,z,z,z,z,z,1,z,z,z,z,z,z,z,z,z,z,z,z,z
Work,Tier 2 & pre-PBS equivalent,Main applicant,Tier 2 - General,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,17,905,"2,196","2,940","2,515","2,629","2,930","3,138","1,217","1,447","1,946","2,562","1,809","2,106","2,450","2,874","1,990","2,571","2,741","3,773","2,694","3,237","3,291","4,829","3,897","4,168","3,689","5,161","4,348","4,496","4,233","5,307","4,328","4,729","4,325","6,058","4,864","4,528"
Work,Tier 2 & pre-PBS equivalent,Main applicant,Tier 2 - Intra Company Transfers,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,47,"4,356","5,662","6,091","5,920","7,378","7,164","8,046","6,582","7,375","2,245",753,415,726,654,592,443,515,643,814,426,464,610,642,453,496,614,612,460,516,537,620,327,54,85,93,75,75
Work,Tier 2 & pre-PBS equivalent,Main applicant,Tier 2 - Intra Company Transfers Short Term,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,"3,005","4,388","3,647","3,679","4,195","4,498","3,741","4,243","4,853","5,336","4,614","5,323","5,320","5,782","5,182","5,065","5,070","6,020","5,069","5,509","5,004","5,640","4,585","5,260","1,895",71,4,3
Work,Tier 2 & pre-PBS equivalent,Main applicant,Tier 2 - Intra Company Transfers Long Term,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,"2,159","3,276","2,445","2,678","2,713","2,938","2,398","2,916","3,152","3,198","2,530","2,951","3,296","3,470","3,128","3,412","3,148","3,506","2,940","3,277","3,358","3,550","3,106","3,629","6,201","8,329","7,152","7,892"
Work,Tier 2 & pre-PBS equivalent,Main applicant,Tier 2 - Ministers of Religion,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1,92,82,120,78,71,89,106,99,92,81,84,85,57,80,86,80,118,121,123,79,68,101,140,89,101,103,130,77,77,79,109,75,91,72,103,79,84
Work,Tier 2 & pre-PBS equivalent,Main applicant,Tier 2 - Sportsperson,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,45,43,128,49,45,47,108,29,54,37,84,57,49,21,70,25,30,14,58,33,29,19,65,24,26,19,46,34,12,24,52,20,17,31,54,28,21
Work,Tier 2 & pre-PBS equivalent,Main applicant,Work Permit Holders,"15,720","17,006","17,856","14,682","16,716","18,198","20,186","16,254","18,186","16,685","16,876","12,324","13,253","13,918","15,816","11,914","3,905",698,294,127,94,71,49,27,17,8,10,5,15,1,7,5,5,6,17,13,27,9,7,10,13,6,14,18,23,21,10,10,6,24,31,46,5
Work,Tier 2 & pre-PBS equivalent,Main applicant,Ministers of religion or missionary,189,226,375,160,186,224,255,184,212,177,244,161,167,213,255,128,15,8,4,1,0,3,0,0,0,2,0,0,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
